Line by line,Fiscal Year   ,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
1,2024,1 REALTY GLOBAL INC,3805,52 - Finance and Insurance,WALNUT,CA,91789,1,0,0,0
2,2024,1ST FINANCIAL FUNDING AND INVESTME,7029,52 - Finance and Insurance,NEW YORK,NY,10022,1,0,0,0
3,2024,1ST FRANKLIN FINANCIAL CORPORATION,1233,52 - Finance and Insurance,TOCCOA,GA,30577,1,0,0,0
4,2024,2 FB INC,9039,52 - Finance and Insurance,OAKLAND,CA,94607,1,0,0,0
5,2024,2GENPEN LLC,7125,52 - Finance and Insurance,MORRISTOWN,NJ,7960,0,0,1,0
6,2024,2ND ORDER SOLUTIONS INC,506,52 - Finance and Insurance,GLEN ALLEN,VA,23060,4,0,0,0
7,2024,3G CAPITAL INC,3698,52 - Finance and Insurance,NEW YORK,NY,10016,0,0,1,0
8,2024,3I MANAGEMENT LLC,483,52 - Finance and Insurance,NEW YORK,NY,10013,0,1,0,0
9,2024,3RED PARTNERS LLC,8791,52 - Finance and Insurance,CHICAGO,IL,60606,0,0,2,0
10,2024,3THIX,555,52 - Finance and Insurance,MANOR,TX,78653,1,0,0,0
11,2024,"5TH STREET ADVISORS, LLC",5220,52 - Finance and Insurance,SOUTHPORT,CT,6890,1,0,0,0
12,2024,6BLU INC,1307,52 - Finance and Insurance,ONTARIO,CA,91761,0,0,0,1
13,2024,7 MILE ADVISORS LLC,7604,52 - Finance and Insurance,CHARLOTTE,NC,28202,0,0,1,0
14,2024,8 RIVERS SERVICES LLC,2388,52 - Finance and Insurance,DURHAM,NC,27701,1,0,1,0
15,2024,9 FORTUNES SERVICES INC,1136,52 - Finance and Insurance,IRVINE,CA,92606,0,0,1,0
16,2024,10T HOLDINGS LLC,6555,52 - Finance and Insurance,GREENWICH,CT,6830,0,0,1,0
17,2024,11 CAPITAL PARTNERS LP,7163,52 - Finance and Insurance,NEW YORK,NY,10017,1,0,1,0
18,2024,12 WEST CAPITAL MANAGEMENT LP,6594,52 - Finance and Insurance,NEW YORK,NY,10018,0,0,1,0
19,2024,12TEN ADVISORS LLC,3714,52 - Finance and Insurance,MIAMI,FL,33131,0,0,1,0
20,2024,16TH AMENDMENT ADVISORS LLC,4728,52 - Finance and Insurance,NEW YORK,NY,10020,0,0,1,0
21,2024,21ST MORTGAGE CORPORATION,8830,52 - Finance and Insurance,KNOXVILLE,TN,37902,0,0,4,0
22,2024,22V RESEARCH LLC,4070,52 - Finance and Insurance,NEW YORK,NY,10022,1,0,0,0
23,2024,32HEALTH INC,8261,52 - Finance and Insurance,CHESTNUT HILL,MA,2467,0,0,1,0
24,2024,57 STARS LLC,3783,52 - Finance and Insurance,ARLINGTON,VA,22209,1,0,0,0
25,2024,57 STARS LLC,3783,52 - Finance and Insurance,WASHINGTON,DC,20001,0,0,1,0
26,2024,213 MANAGEMENT LLC DBA SANDBOX INDUSTRIES,7655,52 - Finance and Insurance,CHICAGO,IL,60607,0,0,1,0
27,2024,360 ONE INC,9442,52 - Finance and Insurance,NEW YORK,NY,10036,0,0,1,0
28,2024,776 MANAGEMENT LLC,8310,52 - Finance and Insurance,JUPITER,FL,33458,0,0,1,0
29,2024,818 CAPITAL GROUP LLC,8018,52 - Finance and Insurance,LIBERTYVILLE,IL,60048,1,0,0,0
30,2024,A & A EVER BROTHERS INC DBA MONTESSORI CHILDREN S SCHOOL HOUSE,3209,52 - Finance and Insurance,LAKE FOREST,CA,92630,0,0,1,0
31,2024,A FIN MANAGEMENT LLC,4960,52 - Finance and Insurance,SUNNY ISLES BEACH,FL,33160,1,0,0,0
32,2024,A-MAX INSURANCE SERVICES INC,5276,52 - Finance and Insurance,DALLAS,TX,75247,1,0,4,0
